company,fy,url
ULTRACEMCO,2021,https://www.bseindia.com/bseplus/AnnualReport/532538/69096532538.pdf
ULTRACEMCO,2022,https://www.bseindia.com/bseplus/AnnualReport/532538/73874532538.pdf
SHREECEM,2021,https://www.bseindia.com/bseplus/AnnualReport/500387/68964500387.pdf
SHREECEM,2022,https://www.bseindia.com/bseplus/AnnualReport/500387/73445500387.pdf
GRASIM,2021,https://www.bseindia.com/bseplus/AnnualReport/500300/69239500300.pdf
GRASIM,2022,https://www.bseindia.com/bseplus/AnnualReport/500300/74157500300.pdf
AMBUJACEM,2021,https://www.bseindia.com/bseplus/AnnualReport/500425/72960500425.pdf
ACC,2021,https://www.bseindia.com/bseplus/AnnualReport/500410/72946500410.pdf
DALBHARAT,2021,https://www.bseindia.com/bseplus/AnnualReport/542216/72091542216.pdf
DALBHARAT,2022,https://www.bseindia.com/bseplus/AnnualReport/542216/73179542216.pdf
RAMCOCEM,2021,https://www.bseindia.com/bseplus/AnnualReport/500260/69061500260.pdf
RAMCOCEM,2022,https://www.bseindia.com/bseplus/AnnualReport/500260/73775500260.pdf
CERA,2021,https://www.bseindia.com/bseplus/AnnualReport/532443/68776532443.pdf
CERA,2022,https://www.bseindia.com/bseplus/AnnualReport/532443/73062532443.pdf
JKCEMENT,2021,https://www.bseindia.com/bseplus/AnnualReport/532644/69088532644_03_08_21.pdf
JKCEMENT,2022,https://www.bseindia.com/bseplus/AnnualReport/532644/73966532644.pdf
JKLAKSHMI,2021,https://www.bseindia.com/bseplus/AnnualReport/500380/69223500380.pdf
JKLAKSHMI,2022,https://www.bseindia.com/bseplus/AnnualReport/500380/73861500380.pdf
BIRLACORPN,2021,https://www.bseindia.com/bseplus/AnnualReport/500335/71387500335.pdf
BIRLACORPN,2022,https://www.bseindia.com/bseplus/AnnualReport/500335/75117500335.pdf
HEIDELBERG,2021,https://www.bseindia.com/bseplus/AnnualReport/500292/70803500292.pdf
HEIDELBERG,2022,https://www.bseindia.com/bseplus/AnnualReport/500292/74143500292.pdf
ORIENTCEM,2021,https://www.bseindia.com/bseplus/AnnualReport/535754/68807535754.pdf
ORIENTCEM,2022,https://www.bseindia.com/bseplus/AnnualReport/535754/73399535754.pdf
SUPREMEIND,2021,https://www.bseindia.com/bseplus/AnnualReport/509930/68494509930.pdf
SUPREMEIND,2022,https://www.bseindia.com/bseplus/AnnualReport/509930/73076509930.pdf
PRISMCEM,2021,https://www.bseindia.com/bseplus/AnnualReport/500338/68790500338_05_10_21.pdf
PRISMCEM,2022,https://www.bseindia.com/bseplus/AnnualReport/500338/73162500338.pdf
ASTRAL,2021,https://www.bseindia.com/bseplus/AnnualReport/532830/69371532830.pdf
ASTRAL,2022,https://www.bseindia.com/bseplus/AnnualReport/532830/74164532830.pdf
SOMANYCERA,2021,https://www.bseindia.com/bseplus/AnnualReport/531548/69680531548.pdf
SOMANYCERA,2022,https://www.bseindia.com/bseplus/AnnualReport/531548/75274531548.pdf
NCLIND,2021,https://www.bseindia.com/bseplus/AnnualReport/502168/71491502168.pdf
NCLIND,2022,https://www.bseindia.com/bseplus/AnnualReport/502168/76144502168.pdf
BURNPUR,2021,https://www.bseindia.com/bseplus/AnnualReport/532931/69968532931.pdf
BURNPUR,2022,https://www.bseindia.com/bseplus/AnnualReport/532931/74815532931.pdf
HSIL,2021,https://www.bseindia.com/bseplus/AnnualReport/500187/70339500187.pdf
HSIL,2022,https://www.bseindia.com/bseplus/AnnualReport/500187/75035500187.pdf
