company,cap,yahoo_symbol,fy,revenue_cr,net_income_cr
ULTRACEMCO,Large,ULTRACEMCO.NS,2022,,
ULTRACEMCO,Large,ULTRACEMCO.NS,2023,62337.6,5063.96
ULTRACEMCO,Large,ULTRACEMCO.NS,2024,69809.53,7005.0
ULTRACEMCO,Large,ULTRACEMCO.NS,2025,75955.13,6039.11
ULTRACEMCO,Large,ULTRACEMCO.NS,2026,88511.53,8165.64
SHREECEM,Large,SHREECEM.NS,2022,,
SHREECEM,Large,SHREECEM.NS,2023,17441.04,1270.7
SHREECEM,Large,SHREECEM.NS,2024,20091.66,2395.7
SHREECEM,Large,SHREECEM.NS,2025,19282.83,1122.77
SHREECEM,Large,SHREECEM.NS,2026,20943.47,1743.56
GRASIM,Large,GRASIM.NS,2022,,
GRASIM,Large,GRASIM.NS,2023,116466.65,6827.26
GRASIM,Large,GRASIM.NS,2024,129579.0,5624.49
GRASIM,Large,GRASIM.NS,2025,148477.89,3705.68
GRASIM,Large,GRASIM.NS,2026,175430.74,4966.48
AMBUJACEM,Large,AMBUJACEM.NS,2021,,
AMBUJACEM,Large,AMBUJACEM.NS,2022,30982.83,1938.46
AMBUJACEM,Large,AMBUJACEM.NS,2024,32529.79,3573.4
AMBUJACEM,Large,AMBUJACEM.NS,2025,33654.07,4303.1
AMBUJACEM,Large,AMBUJACEM.NS,2026,39969.4,4728.18
ACC,Large,ACC.NS,2021,,
ACC,Large,ACC.NS,2022,17419.27,649.44
ACC,Large,ACC.NS,2024,19573.58,2334.92
ACC,Large,ACC.NS,2025,20829.73,2402.12
ACC,Large,ACC.NS,2026,25045.39,2137.07
DALBHARAT,Large,DALBHARAT.NS,2022,,
DALBHARAT,Large,DALBHARAT.NS,2023,13237.0,1035.0
DALBHARAT,Large,DALBHARAT.NS,2024,14334.0,826.0
DALBHARAT,Large,DALBHARAT.NS,2025,13980.0,683.0
DALBHARAT,Large,DALBHARAT.NS,2026,14804.0,1139.0
RAMCOCEM,Large,RAMCOCEM.NS,2022,,
RAMCOCEM,Large,RAMCOCEM.NS,2023,8122.36,314.52
RAMCOCEM,Large,RAMCOCEM.NS,2024,9348.69,359.95
RAMCOCEM,Large,RAMCOCEM.NS,2025,8518.4,272.65
RAMCOCEM,Large,RAMCOCEM.NS,2026,9028.76,698.65
JKLAKSHMI,Large,JKLAKSHMI.NS,2022,,
JKLAKSHMI,Large,JKLAKSHMI.NS,2023,6451.2,358.62
JKLAKSHMI,Large,JKLAKSHMI.NS,2024,6787.98,487.92
JKLAKSHMI,Large,JKLAKSHMI.NS,2025,6192.62,276.83
JKLAKSHMI,Large,JKLAKSHMI.NS,2026,6762.63,412.05
BIRLACORPN,Large,BIRLACORPN.NS,2022,,
BIRLACORPN,Large,BIRLACORPN.NS,2023,8507.96,40.5
BIRLACORPN,Large,BIRLACORPN.NS,2024,9469.98,420.56
BIRLACORPN,Large,BIRLACORPN.NS,2025,9214.49,295.23
BIRLACORPN,Large,BIRLACORPN.NS,2026,9655.61,557.59
HEIDELBERG,Large,HEIDELBERG.NS,2022,,
HEIDELBERG,Large,HEIDELBERG.NS,2023,2209.11,99.17
HEIDELBERG,Large,HEIDELBERG.NS,2024,2357.91,167.75
HEIDELBERG,Large,HEIDELBERG.NS,2025,2148.88,106.75
HEIDELBERG,Large,HEIDELBERG.NS,2026,2329.59,133.97
