cap,company,2022,2023,2024,2025,2026
Large,ACC,649.0,,2335.0,2402.0,2137.0
Large,AMBUJACEM,1938.0,,3573.0,4303.0,4728.0
Large,BIRLACORPN,,40.0,421.0,295.0,558.0
Large,DALBHARAT,,1035.0,826.0,683.0,1139.0
Large,GRASIM,,6827.0,5624.0,3706.0,4966.0
Large,HEIDELBERG,,99.0,168.0,107.0,134.0
Large,JKLAKSHMI,,359.0,488.0,277.0,412.0
Large,RAMCOCEM,,315.0,360.0,273.0,699.0
Large,SHREECEM,,1271.0,2396.0,1123.0,1744.0
Large,ULTRACEMCO,,5064.0,7005.0,6039.0,8166.0
Mid,BURNPUR,,-71.0,-99.0,-42.0,-79.0
Mid,JKCEMENT,,424.0,791.0,861.0,992.0
Mid,NCLIND,,44.0,93.0,25.0,95.0
Mid,ORIENTCEM,,123.0,175.0,91.0,338.0
Mid,PRISMCEM,,-103.0,181.0,80.0,73.0
Small,ASTRAL,,457.0,546.0,524.0,537.0
Small,CERA,,209.0,239.0,246.0,204.0
Small,HSIL,,8.0,10.0,8.0,18.0
Small,SOMANYCERA,,71.0,97.0,60.0,81.0
Small,SUPREMEIND,,865.0,1070.0,961.0,954.0
