,close_31Jan2025,close_31Mar2025,close_31Dec2025,close_31Dec2024
ULTRACEMCO,11487.45,11509.55,11784.0,11426.35
SHREECEM,27795.9,30502.95,26575.0,25694.2
GRASIM,2508.85,2611.15,2829.0,2442.7
AMBUJACEM,512.8,538.35,556.35,535.8
ACC,2007.65,1942.65,1737.7,2052.5
DALBHARAT,1866.35,1821.55,2130.9,1767.25
RAMCOCEM,917.5,896.75,1056.6,965.65
JKLAKSHMI,804.1,774.1,778.1,836.1
BIRLACORPN,1167.5,1055.85,1063.5,1237.5
HEIDELBERG,218.08,197.79,174.76,207.81
JKCEMENT,4834.85,4932.65,5531.0,4595.4
ORIENTCEM,340.7,339.95,170.87,343.0
PRISMCEM,141.07,135.42,135.94,170.04
NCLIND,202.7,182.29,201.07,219.44
BURNPUR,33.0,33.0,33.0,33.95
SOMANYCERA,510.0,419.6,399.9,639.0
CERA,6688.2,5638.8,5235.5,7587.0
HSIL,127.75,99.65,291.0,126.2
ASTRAL,1507.3,1294.25,1388.5,1652.25
SUPREMEIND,3968.8,3426.25,3353.8,4700.55
