Date,ULTRACEMCO,SHREECEM,GRASIM,AMBUJACEM,ACC,DALBHARAT,RAMCOCEM,JKLAKSHMI,BIRLACORPN,HEIDELBERG,JKCEMENT,ORIENTCEM,PRISMCEM,NCLIND,BURNPUR,SOMANYCERA,CERA,HSIL,ASTRAL,SUPREMEIND
2024-01-01,10464.0,28461.6,2118.88,534.3,2243.3,2361.25,1014.35,904.8,1499.65,232.8,3827.2,262.5,184.35,225.95,32.0,724.7,7912.45,168.65,1904.95,4476.15
2024-01-02,10204.7,28088.55,2093.13,530.9,2267.3,2320.55,1018.75,890.7,1469.65,231.85,3851.4,268.95,182.25,233.55,32.5,721.45,7837.95,171.75,1899.7,4484.2
2024-01-03,10111.55,28221.75,2063.99,536.1,2280.2,2307.65,1005.65,881.25,1427.2,230.95,3847.25,275.0,181.3,227.45,33.0,728.45,7776.95,175.45,1861.1,4437.65
2024-01-04,10014.8,28357.9,2062.0,549.45,2358.2,2361.0,1012.9,894.2,1429.6,229.65,3900.0,278.85,183.2,228.3,33.0,715.7,7747.0,193.9,1853.3,4398.45
2024-01-05,10016.05,27023.3,2071.26,542.35,2377.45,2390.7,1028.1,877.35,1434.2,230.05,3930.6,279.35,183.8,228.45,32.5,698.65,7725.95,189.5,1841.15,4379.65
2024-01-08,9934.5,27329.65,2059.51,530.2,2354.75,2330.35,996.9,868.6,1425.6,223.4,4007.1,279.95,181.15,227.0,32.5,695.9,7786.9,183.3,1808.05,4363.7
2024-01-09,9899.1,27312.9,2055.88,525.2,2309.65,2306.75,993.1,842.15,1450.0,227.2,4029.2,275.55,181.75,226.2,33.0,702.7,7776.55,191.5,1822.2,4284.35
2024-01-10,9776.2,26842.15,2068.55,526.15,2306.6,2288.6,974.1,841.95,1446.45,229.45,4052.95,272.5,181.4,227.65,32.75,694.95,7742.6,198.65,1810.95,4306.1
2024-01-11,9920.45,26909.95,2083.7,538.25,2321.75,2307.3,988.8,873.9,1439.8,230.9,4045.55,268.65,181.5,224.3,33.0,696.4,7762.8,204.75,1812.35,4228.9
2024-01-12,9808.45,26874.0,2111.55,532.4,2332.4,2303.5,993.65,870.0,1430.05,229.45,4047.95,283.5,186.6,223.35,33.5,691.05,8017.5,201.55,1811.85,4216.75
2024-01-15,9954.55,26813.7,2101.0,531.45,2320.4,2293.25,981.15,875.6,1452.8,225.4,4076.8,278.3,189.1,224.5,35.0,694.4,8050.2,201.55,1802.75,4158.6
2024-01-16,9969.6,27082.1,2115.2,528.7,2294.45,2258.35,989.25,874.85,1435.0,225.45,4130.0,271.3,181.9,222.15,36.75,705.3,8055.8,178.25,1794.15,4162.9
2024-01-17,9854.65,26137.0,2067.85,520.55,2251.8,2191.7,951.65,849.35,1393.95,221.0,4035.6,264.35,183.85,219.75,38.5,692.2,8027.95,184.15,1774.7,4062.6
2024-01-18,9892.25,26477.15,2053.65,524.15,2260.1,2181.45,950.85,862.15,1376.95,221.7,3994.0,268.95,184.0,220.3,36.75,696.7,7934.3,186.4,1791.4,3924.5
2024-01-19,10093.7,26649.5,2081.2,537.1,2277.1,2214.4,957.6,873.55,1436.2,226.45,4053.25,269.1,182.65,221.65,36.0,702.75,8170.4,180.45,1850.75,4123.5
2024-01-23,9831.0,27493.75,2049.6,525.05,2207.95,2108.9,940.65,865.8,1390.45,217.85,3948.15,254.9,167.25,220.7,36.0,691.3,8157.6,179.15,1774.4,4162.65
2024-01-24,9990.5,27635.15,2071.3,527.45,2240.6,2154.75,962.95,883.05,1401.5,221.95,4138.0,279.8,167.75,223.45,35.0,676.5,8196.45,176.0,1827.85,4103.55
2024-01-25,9969.35,27948.8,2076.5,560.15,2467.65,2205.05,968.85,930.9,1395.3,225.3,4167.45,274.65,168.15,225.75,35.0,669.7,8186.85,178.7,1800.05,4014.85
2024-01-29,10274.05,28411.55,2104.5,574.1,2492.9,2256.45,985.55,937.1,1470.3,235.4,4306.2,279.15,172.9,233.8,34.75,675.95,8182.25,180.7,1868.75,4168.35
