,2026-03-31,2025-03-31,2024-03-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,5562000.0,440529366.312948,416292800.0,-242629497.84792,
Tax Rate For Calcs,0.009,0.231711,0.154,0.254462,
Normalized EBITDA,33251400000.0,40461900000.0,35266700000.0,16932100000.0,
Total Unusual Items,618000000.0,1901200000.0,2703200000.0,-953500000.0,
Total Unusual Items Excluding Goodwill,618000000.0,1901200000.0,2703200000.0,-953500000.0,
Net Income From Continuing Operation Net Minority Interest,21370700000.0,24021200000.0,23349200000.0,6494400000.0,
Reconciled Depreciation,11183400000.0,10013100000.0,8850500000.0,6645700000.0,
Reconciled Cost Of Revenue,157169600000.0,125042300000.0,108780100000.0,38759600000.0,
EBITDA,33869400000.0,42363100000.0,37969900000.0,15978600000.0,
EBIT,22686000000.0,32350000000.0,29119400000.0,9332900000.0,
Net Interest Income,2014900000.0,8513200000.0,2975100000.0,-620400000.0,
Interest Expense,1120500000.0,1082200000.0,1545800000.0,620400000.0,
Interest Income,3135400000.0,9595400000.0,4520900000.0,,1946100000.0
Normalized Income,20758262000.0,22560529366.312946,21062292800.0,7205270502.15208,
Net Income From Continuing And Discontinued Operation,21370700000.0,24021200000.0,23349200000.0,6494400000.0,
Total Expenses,232263600000.0,187685200000.0,173969700000.0,166274300000.0,
Rent Expense Supplemental,958200000.0,765600000.0,529700000.0,,1072600000.0
Diluted Average Shares,,188294193.0,188282593.0,188298057.0,188293919.0
Basic Average Shares,,187787263.0,187787263.0,187807981.0,187787263.0
Diluted EPS,,127.57,124.01,34.49,98.94
Basic EPS,,127.92,124.34,34.58,99.21
Diluted NI Availto Com Stockholders,21370700000.0,24021200000.0,23349200000.0,6494400000.0,
Net Income Common Stockholders,21370700000.0,24021200000.0,23349200000.0,6494400000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,21370700000.0,24021200000.0,23349200000.0,6494400000.0,
Minority Interests,-1600000.0,-1500000.0,-1600000.0,-1100000.0,
Net Income Including Noncontrolling Interests,21372300000.0,24022700000.0,23350800000.0,6495500000.0,
Net Income Continuous Operations,21372300000.0,24022700000.0,23350800000.0,6495500000.0,
Tax Provision,193200000.0,7245100000.0,4222800000.0,2217000000.0,
Pretax Income,21565500000.0,31267800000.0,27573600000.0,8712500000.0,
Other Non Operating Income Expenses,833500000.0,225000000.0,4928500000.0,2227400000.0,
Special Income Charges,201800000.0,1247000000.0,2391900000.0,-953500000.0,
Other Special Charges,-201800000.0,-3319800000.0,-96300000.0,220000000.0,
Write Off,,,211800000.0,,-108700000.0
Impairment Of Capital Assets,0.0,2072800000.0,,,
Restructuring And Mergern Acquisition,,,-2295600000.0,733500000.0,547600000.0
Net Non Operating Interest Income Expense,2014900000.0,8513200000.0,2975100000.0,-620400000.0,
Interest Expense Non Operating,1120500000.0,1082200000.0,1545800000.0,620400000.0,
Interest Income Non Operating,3135400000.0,9595400000.0,4520900000.0,,1946100000.0
Operating Income,18190300000.0,20612100000.0,21766100000.0,7918400000.0,
Operating Expense,75094000000.0,62642900000.0,65189600000.0,127514700000.0,
Other Operating Expenses,10264000000.0,9108300000.0,8010500000.0,71522600000.0,
Depreciation And Amortization In Income Statement,11183400000.0,10013100000.0,8850500000.0,6645700000.0,
Amortization,770900000.0,620500000.0,249300000.0,,52300000.0
Depreciation Income Statement,10412500000.0,9392600000.0,8601200000.0,6645700000.0,
Selling General And Administration,54045700000.0,46480000000.0,43851000000.0,41104900000.0,
Selling And Marketing Expense,52704100000.0,45265700000.0,43161500000.0,41104900000.0,
General And Administrative Expense,1341600000.0,1214300000.0,689500000.0,,393400000.0
Rent And Landing Fees,958200000.0,765600000.0,529700000.0,,1072600000.0
Gross Profit,93284300000.0,83255000000.0,86955700000.0,135433100000.0,
Cost Of Revenue,157169600000.0,125042300000.0,108780100000.0,38759600000.0,
Total Revenue,250453900000.0,208297300000.0,195735800000.0,174192700000.0,
Operating Revenue,250453900000.0,208297300000.0,195735800000.0,174192700000.0,
