,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-60598686.011497,0.0,45621400.0,15186000.0,
Tax Rate For Calcs,0.268136,0.261352,0.2563,0.2531,
Normalized EBITDA,10747000000.0,9792000000.0,9354000000.0,8014000000.0,
Total Unusual Items,-206000000.0,0.0,178000000.0,60000000.0,
Total Unusual Items Excluding Goodwill,-226000000.0,0.0,178000000.0,60000000.0,
Net Income From Continuing Operation Net Minority Interest,5366000000.0,5238000000.0,5461000000.0,4436000000.0,
Reconciled Depreciation,2916000000.0,2434000000.0,1976000000.0,1781000000.0,
Reconciled Cost Of Revenue,39511000000.0,35192000000.0,35650000000.0,35240000000.0,
EBITDA,10541000000.0,9792000000.0,9532000000.0,8074000000.0,
EBIT,7625000000.0,7358000000.0,7556000000.0,6293000000.0,
Net Interest Income,-319000000.0,-333000000.0,-224000000.0,-115000000.0,
Interest Expense,319000000.0,333000000.0,220000000.0,141000000.0,
Interest Income,,50000000.0,42000000.0,56000000.0,46000000.0
Normalized Income,5551401313.988503,5238000000.0,5328616139.585605,4391186000.0,
Net Income From Continuing And Discontinued Operation,5366000000.0,5238000000.0,5461000000.0,4566000000.0,
Total Expenses,57983000000.0,51299000000.0,49017000000.0,45116000000.0,
Rent Expense Supplemental,,118000000.0,140000000.0,105000000.0,82000000.0
Diluted Average Shares,,268615385.0,268640666.0,268623948.0,268606319.0
Basic Average Shares,,268615385.0,268620556.0,268609715.0,268596818.0
Diluted EPS,,19.5,20.33,17.0,18.01
Basic EPS,,19.5,20.33,17.0,18.01
Diluted NI Availto Com Stockholders,5366000000.0,5238000000.0,5461000000.0,4566000000.0,
Net Income Common Stockholders,5366000000.0,5238000000.0,5461000000.0,4566000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5366000000.0,5238000000.0,5461000000.0,4566000000.0,
Minority Interests,19000000.0,49000000.0,5000000.0,-159000000.0,
Net Income Including Noncontrolling Interests,5347000000.0,5189000000.0,5456000000.0,4725000000.0,
Net Income Discontinuous Operations,,0.0,0.0,130000000.0,0.0
Net Income Continuous Operations,5347000000.0,5189000000.0,5456000000.0,4595000000.0,
Tax Provision,1959000000.0,1836000000.0,1880000000.0,1557000000.0,
Pretax Income,7306000000.0,7025000000.0,7336000000.0,6152000000.0,
Other Non Operating Income Expenses,473000000.0,413000000.0,49000000.0,59000000.0,
Special Income Charges,-226000000.0,0.0,-64000000.0,-34000000.0,
Other Special Charges,206000000.0,-10000000.0,64000000.0,30000000.0,
Write Off,,,0.0,4000000.0,1000000.0
Net Non Operating Interest Income Expense,-319000000.0,-333000000.0,-224000000.0,-115000000.0,
Total Other Finance Cost,,50000000.0,46000000.0,30000000.0,23000000.0
Interest Expense Non Operating,319000000.0,333000000.0,220000000.0,141000000.0,
Interest Income Non Operating,,50000000.0,42000000.0,56000000.0,46000000.0
Operating Income,7703000000.0,7025000000.0,7271000000.0,6335000000.0,
Operating Expense,18472000000.0,16107000000.0,13367000000.0,9876000000.0,
Other Operating Expenses,9652000000.0,8494000000.0,4362000000.0,3070000000.0,
Depreciation And Amortization In Income Statement,2916000000.0,2434000000.0,1976000000.0,1781000000.0,
Amortization,,360000000.0,352000000.0,342000000.0,72000000.0
Depreciation Income Statement,2916000000.0,2434000000.0,1624000000.0,1439000000.0,
Selling General And Administration,,2486000000.0,2631000000.0,1858000000.0,1505000000.0
Selling And Marketing Expense,,2028000000.0,2249000000.0,1530000000.0,1251000000.0
General And Administrative Expense,,458000000.0,382000000.0,328000000.0,254000000.0
Rent And Landing Fees,,118000000.0,140000000.0,105000000.0,82000000.0
Gross Profit,26175000000.0,23132000000.0,20638000000.0,16211000000.0,
Cost Of Revenue,39511000000.0,35192000000.0,35650000000.0,35240000000.0,
Total Revenue,65686000000.0,58324000000.0,56288000000.0,51451000000.0,
Operating Revenue,65686000000.0,58324000000.0,56288000000.0,51451000000.0,
