,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-17978771.160527,-83909305.279873,109044222.578587,5103757.82881,
Tax Rate For Calcs,0.274485,0.218685,0.274809,0.060543,
Normalized EBITDA,15713900000.0,13151300000.0,14879700000.0,8807400000.0,
Total Unusual Items,-65500000.0,-383700000.0,396800000.0,84300000.0,
Total Unusual Items Excluding Goodwill,-65500000.0,-383700000.0,396800000.0,84300000.0,
Net Income From Continuing Operation Net Minority Interest,5575900000.0,2952300000.0,4205600000.0,405000000.0,
Reconciled Depreciation,5318200000.0,5718500000.0,5783100000.0,5098800000.0,
Reconciled Cost Of Revenue,32380200000.0,31562100000.0,51249300000.0,50971000000.0,
EBITDA,15648400000.0,12767600000.0,15276500000.0,8891700000.0,
EBIT,10330200000.0,7049100000.0,9516400000.0,3792900000.0,
Net Interest Income,-2644900000.0,-3270600000.0,-3491800000.0,-3272300000.0,
Interest Expense,2644900000.0,3270600000.0,3694100000.0,3361800000.0,
Interest Income,,335500000.0,213000000.0,101100000.0,184600000.0
Normalized Income,5623421228.839473,3252090694.720127,3917844222.578587,325803757.82881,
Net Income From Continuing And Discontinued Operation,5575900000.0,2952300000.0,4205600000.0,405000000.0,
Total Expenses,87329900000.0,85691200000.0,86119300000.0,82333100000.0,
Rent Expense Supplemental,,343600000.0,312200000.0,287800000.0,260200000.0
Diluted Average Shares,77004557.0,77003130.0,77005347.0,77005347.0,
Basic Average Shares,77004557.0,77003130.0,77005347.0,77005347.0,
Diluted EPS,72.41,38.34,54.61,5.26,
Basic EPS,72.41,38.34,54.61,5.26,
Diluted NI Availto Com Stockholders,5575900000.0,2952300000.0,4205600000.0,405000000.0,
Net Income Common Stockholders,5575900000.0,2952300000.0,4205600000.0,405000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5575900000.0,2952300000.0,4205600000.0,405000000.0,
Minority Interests,100000.0,100000.0,0.0,0.0,
Net Income Including Noncontrolling Interests,5575800000.0,2952200000.0,4205600000.0,405000000.0,
Net Income Continuous Operations,5575800000.0,2952200000.0,4205600000.0,405000000.0,
Tax Provision,2109500000.0,826300000.0,1593700000.0,26100000.0,
Pretax Income,7685300000.0,3778500000.0,5799300000.0,431100000.0,
Other Non Operating Income Expenses,1169500000.0,979100000.0,275000000.0,755600000.0,
Special Income Charges,-65500000.0,-383700000.0,179200000.0,-26600000.0,
Other Special Charges,-215000000.0,351200000.0,-183600000.0,24400000.0,
Write Off,,5200000.0,1500000.0,0.0,24500000.0
Impairment Of Capital Assets,280500000.0,500000.0,2900000.0,2200000.0,
Net Non Operating Interest Income Expense,-2644900000.0,-3270600000.0,-3491800000.0,-3272300000.0,
Total Other Finance Cost,,119700000.0,10700000.0,11600000.0,13200000.0
Interest Expense Non Operating,2644900000.0,3270600000.0,3694100000.0,3361800000.0,
Interest Income Non Operating,,335500000.0,213000000.0,101100000.0,184600000.0
Operating Income,9226200000.0,6453700000.0,8580500000.0,2746500000.0,
Operating Expense,54949700000.0,54129100000.0,34870000000.0,31362100000.0,
Other Operating Expenses,19015200000.0,19134800000.0,790300000.0,609700000.0,
Depreciation And Amortization In Income Statement,5318200000.0,5718500000.0,5783100000.0,5098800000.0,
Amortization,,595500000.0,635800000.0,439800000.0,420700000.0
Depreciation Income Statement,5318200000.0,5718500000.0,5147300000.0,4659000000.0,
Selling General And Administration,24771800000.0,23635700000.0,24191500000.0,21872500000.0,
Selling And Marketing Expense,24771800000.0,23635700000.0,23963200000.0,21657300000.0,
General And Administrative Expense,,184800000.0,228300000.0,215200000.0,191500000.0
Rent And Landing Fees,,343600000.0,312200000.0,287800000.0,260200000.0
Gross Profit,64175900000.0,60582800000.0,43450500000.0,34108600000.0,
Cost Of Revenue,32380200000.0,31562100000.0,51249300000.0,50971000000.0,
Total Revenue,96556100000.0,92144900000.0,94699800000.0,85079600000.0,
Operating Revenue,96556100000.0,92144900000.0,94699800000.0,85079600000.0,
