,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,0.0,0.0,-343.607492,17246100.0,
Tax Rate For Calcs,0.000111,0.362576,0.020212,0.3,
Normalized EBITDA,-21765000.0,-4514000.0,52895000.0,64333000.0,
Total Unusual Items,0.0,0.0,-260276000.0,57487000.0,
Total Unusual Items Excluding Goodwill,0.0,0.0,-17000.0,57487000.0,
Net Income From Continuing Operation Net Minority Interest,-792298000.0,-424570000.0,-991121000.0,-708343000.0,
Reconciled Depreciation,370000.0,358000.0,73740000.0,110607000.0,
Reconciled Cost Of Revenue,0.0,1000.0,1095590000.0,1177270000.0,
EBITDA,-21765000.0,-4514000.0,-207429000.0,121820000.0,
EBIT,-22135000.0,-4872000.0,-281169000.0,11213000.0,
Net Interest Income,-770251000.0,-661200000.0,-730398000.0,-713071000.0,
Interest Expense,770251000.0,661200000.0,730446000.0,713907000.0,
Interest Income,,0.0,1156000.0,841000.0,0.0
Normalized Income,-792298000.0,-424570000.0,-736105751.977872,-748583900.0,
Net Income From Continuing And Discontinued Operation,-792298000.0,-424570000.0,-991121000.0,-708343000.0,
Total Expenses,22134000.0,21381000.0,1365617000.0,1509366000.0,
Rent Expense Supplemental,,,12778000.0,14211000.0,14832000.0
Diluted Average Shares,,17237921.0,86124363.0,17224872.0,17224872.0
Basic Average Shares,,17237921.0,86124363.0,17224872.0,17224872.0
Diluted EPS,,-24.63,-11.51,-41.1,-34.25
Basic EPS,,-24.63,-11.51,-41.1,-34.25
Diluted NI Availto Com Stockholders,-792298000.0,-424570000.0,-991121000.0,-708343000.0,
Net Income Common Stockholders,-792298000.0,-424570000.0,-991121000.0,-708343000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-792298000.0,-424570000.0,-991121000.0,-708343000.0,
Net Income Including Noncontrolling Interests,-792298000.0,-424570000.0,-991121000.0,-708343000.0,
Net Income Discontinuous Operations,,0.0,0.0,0.0,0.0
Net Income Continuous Operations,-792298000.0,-424570000.0,-991121000.0,-708343000.0,
Tax Provision,-88000.0,-241502000.0,-20446000.0,5648000.0,
Pretax Income,-792386000.0,-666072000.0,-1011567000.0,-702694000.0,
Other Non Operating Income Expenses,,16509000.0,2505000.0,48000.0,23391000.0
Special Income Charges,0.0,0.0,-17000.0,57487000.0,
Other Special Charges,,,261328000.0,-58288000.0,50000.0
Write Off,,-6166000.0,-1052000.0,801000.0,-465528000.0
Net Non Operating Interest Income Expense,-770251000.0,-661200000.0,-730398000.0,-713071000.0,
Total Other Finance Cost,,,13000.0,5000.0,35000.0
Interest Expense Non Operating,770251000.0,661200000.0,730398000.0,713907000.0,
Interest Income Non Operating,,0.0,1156000.0,841000.0,0.0
Operating Income,-22134000.0,-21381000.0,-21955000.0,-47157000.0,
Operating Expense,22134000.0,21380000.0,270027000.0,332096000.0,
Other Operating Expenses,9627000.0,8671000.0,139187000.0,157541000.0,
Depreciation And Amortization In Income Statement,370000.0,358000.0,73740000.0,110607000.0,
Amortization,,,0.0,0.0,18000.0
Depreciation Income Statement,370000.0,358000.0,73740000.0,110607000.0,
Selling General And Administration,,2217000.0,9841000.0,9372000.0,7301000.0
Selling And Marketing Expense,,,1182000.0,283000.0,320000.0
General And Administrative Expense,,,8659000.0,9089000.0,6981000.0
Rent And Landing Fees,,,12778000.0,14211000.0,14832000.0
Gross Profit,0.0,-1000.0,272510000.0,284939000.0,
Cost Of Revenue,0.0,1000.0,1071152000.0,1177270000.0,
Total Revenue,0.0,0.0,1343662000.0,1462209000.0,
Operating Revenue,0.0,0.0,1343662000.0,1462209000.0,
