,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-52358620.689655,-163206854.345165,189757009.345794,-202732075.471698,
Tax Rate For Calcs,0.201379,0.144431,0.201869,0.182642,
Normalized EBITDA,33050000000.0,26600000000.0,28650000000.0,29790000000.0,
Total Unusual Items,-260000000.0,-1130000000.0,940000000.0,-1110000000.0,
Total Unusual Items Excluding Goodwill,-260000000.0,-1130000000.0,940000000.0,-1110000000.0,
Net Income From Continuing Operation Net Minority Interest,11400000000.0,6830000000.0,8270000000.0,10390000000.0,
Reconciled Depreciation,13490000000.0,13310000000.0,15040000000.0,13150000000.0,
Reconciled Cost Of Revenue,51420000000.0,51130000000.0,86950000000.0,82380000000.0,
EBITDA,32790000000.0,25470000000.0,29590000000.0,28680000000.0,
EBIT,19300000000.0,12160000000.0,14550000000.0,15530000000.0,
Net Interest Income,-4800000000.0,-3990000000.0,-2260000000.0,-1760000000.0,
Interest Expense,4800000000.0,3990000000.0,3850000000.0,2280000000.0,
Interest Income,,920000000.0,1600000000.0,550000000.0,580000000.0
Normalized Income,11607641379.310345,7796793145.654835,7519757009.345794,11297267924.528301,
Net Income From Continuing And Discontinued Operation,11390000000.0,6830000000.0,8260000000.0,10350000000.0,
Total Expenses,130700000000.0,129040000000.0,131900000000.0,122120000000.0,
Rent Expense Supplemental,,310000000.0,380000000.0,320000000.0,220000000.0
Diluted Average Shares,187551457.0,187534322.0,187539578.0,187524498.0,
Basic Average Shares,187551457.0,187534322.0,187521271.0,187439002.0,
Diluted EPS,60.73,36.42,44.03,55.19,
Basic EPS,60.73,36.42,44.05,55.22,
Diluted NI Availto Com Stockholders,11390000000.0,6830000000.0,8260000000.0,10350000000.0,
Net Income Common Stockholders,11390000000.0,6830000000.0,8260000000.0,10350000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,11390000000.0,6830000000.0,8260000000.0,10350000000.0,
Minority Interests,-180000000.0,-160000000.0,-270000000.0,-440000000.0,
Net Income Including Noncontrolling Interests,11570000000.0,6990000000.0,8530000000.0,10790000000.0,
Net Income Discontinuous Operations,-10000000.0,0.0,-10000000.0,-40000000.0,
Net Income Continuous Operations,11580000000.0,6990000000.0,8540000000.0,10830000000.0,
Tax Provision,2920000000.0,1180000000.0,2160000000.0,2420000000.0,
Pretax Income,14500000000.0,8170000000.0,10700000000.0,13250000000.0,
Other Non Operating Income Expenses,2220000000.0,2530000000.0,250000000.0,150000000.0,
Special Income Charges,-260000000.0,-1130000000.0,120000000.0,-1430000000.0,
Other Special Charges,,1070000000.0,-140000000.0,-30000000.0,-80000000.0
Write Off,,20000000.0,20000000.0,1460000000.0,350000000.0
Net Non Operating Interest Income Expense,-4800000000.0,-3990000000.0,-2260000000.0,-1760000000.0,
Total Other Finance Cost,,30000000.0,10000000.0,30000000.0,60000000.0
Interest Expense Non Operating,4800000000.0,3990000000.0,3850000000.0,2280000000.0,
Interest Income Non Operating,,920000000.0,1600000000.0,550000000.0,580000000.0
Operating Income,17340000000.0,10760000000.0,11440000000.0,10250000000.0,
Operating Expense,79280000000.0,77910000000.0,44950000000.0,39740000000.0,
Other Operating Expenses,52550000000.0,50740000000.0,17100000000.0,15590000000.0,
Depreciation And Amortization In Income Statement,13490000000.0,13310000000.0,15010000000.0,13120000000.0,
Amortization,,3030000000.0,3600000000.0,3400000000.0,3380000000.0
Depreciation Income Statement,13490000000.0,13310000000.0,11410000000.0,9720000000.0,
Selling General And Administration,4300000000.0,5010000000.0,7360000000.0,6220000000.0,
Selling And Marketing Expense,4300000000.0,5010000000.0,6290000000.0,4930000000.0,
General And Administrative Expense,,1230000000.0,1070000000.0,1290000000.0,1370000000.0
Rent And Landing Fees,,310000000.0,380000000.0,320000000.0,220000000.0
Gross Profit,96620000000.0,88670000000.0,56390000000.0,49990000000.0,
Cost Of Revenue,51420000000.0,51130000000.0,86950000000.0,82380000000.0,
Total Revenue,148040000000.0,139800000000.0,143340000000.0,132370000000.0,
Operating Revenue,148040000000.0,139800000000.0,143340000000.0,132370000000.0,
