,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-930970812.872467,-677101245.166309,193070400.0,569419620.0,
Tax Rate For Calcs,0.288298,0.283484,0.2755,0.2478,
Normalized EBITDA,260615300000.0,203199200000.0,202745700000.0,202781900000.0,
Total Unusual Items,-3229200000.0,-2388500000.0,700800000.0,2297900000.0,
Total Unusual Items Excluding Goodwill,-3229200000.0,-2388500000.0,700800000.0,2297900000.0,
Net Income From Continuing Operation Net Minority Interest,49664800000.0,37056800000.0,56244900000.0,68272600000.0,
Reconciled Depreciation,77259400000.0,64537300000.0,50013200000.0,45290100000.0,
Reconciled Cost Of Revenue,961242000000.0,813544100000.0,740283600000.0,672950600000.0,
EBITDA,257386100000.0,200810700000.0,203446500000.0,205079800000.0,
EBIT,180126700000.0,136273400000.0,153433300000.0,159789700000.0,
Net Interest Income,-35399200000.0,-28022800000.0,-11051400000.0,-8785200000.0,
Interest Expense,35399200000.0,28022800000.0,16435200000.0,12522600000.0,
Interest Income,,5052900000.0,5452600000.0,3872100000.0,2230400000.0
Normalized Income,51963029187.12753,38768198754.833694,55737170400.0,66544119620.0,
Net Income From Continuing And Discontinued Operation,49664800000.0,37056800000.0,56244900000.0,68272600000.0,
Total Expenses,1584647100000.0,1363675300000.0,1150612300000.0,1042070900000.0,
Rent Expense Supplemental,,2599900000.0,2200100000.0,2416600000.0,1875800000.0
Diluted Average Shares,,667690090.0,660570757.0,659835362.0,660227550.0
Basic Average Shares,,666849019.0,659449553.0,659217378.0,659291420.0
Diluted EPS,,55.5,85.15,103.47,114.345339
Basic EPS,,55.57,85.29,103.57,114.524626
Diluted NI Availto Com Stockholders,49664800000.0,37056800000.0,56244900000.0,68272600000.0,
Net Income Common Stockholders,49664800000.0,37056800000.0,56244900000.0,68272600000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,49664800000.0,37056800000.0,56244900000.0,68272600000.0,
Minority Interests,-53338100000.0,-40506500000.0,-43011600000.0,-42509400000.0,
Net Income Including Noncontrolling Interests,103002900000.0,77563300000.0,99256500000.0,110782000000.0,
Net Income Discontinuous Operations,,,,0.0,5157400000.0
Net Income Continuous Operations,103002900000.0,77563300000.0,99256500000.0,110782000000.0,
Tax Provision,41724600000.0,30687300000.0,37741600000.0,36485100000.0,
Pretax Income,144727500000.0,108250600000.0,136998100000.0,147267100000.0,
Other Non Operating Income Expenses,11801200000.0,14590400000.0,1131200000.0,1467700000.0,
Special Income Charges,-3229200000.0,-2388500000.0,-5043400000.0,-335900000.0,
Other Special Charges,3229200000.0,2388500000.0,4323400000.0,110100000.0,
Write Off,,93500000.0,0.0,225800000.0,369400000.0
Impairment Of Capital Assets,,,,,0.0
Restructuring And Mergern Acquisition,,880800000.0,720000000.0,880300000.0,0.0
Net Non Operating Interest Income Expense,-35399200000.0,-28022800000.0,-11051400000.0,-8785200000.0,
Total Other Finance Cost,,187300000.0,68800000.0,134700000.0,176300000.0
Interest Expense Non Operating,35399200000.0,28022800000.0,16435200000.0,12522600000.0,
Interest Income Non Operating,,5052900000.0,5452600000.0,3872100000.0,2230400000.0
Operating Income,169660300000.0,121103600000.0,145177700000.0,122595600000.0,
Operating Expense,623405100000.0,550131200000.0,410328700000.0,369120300000.0,
Other Operating Expenses,228238400000.0,201309000000.0,81417100000.0,68498800000.0,
Depreciation And Amortization In Income Statement,77259400000.0,64537300000.0,50013200000.0,45290100000.0,
Amortization,,7381200000.0,6079900000.0,6334400000.0,6030700000.0
Depreciation Income Statement,77259400000.0,64537300000.0,43933300000.0,38955700000.0,
Selling General And Administration,205449400000.0,187069700000.0,208824900000.0,190382200000.0,
Selling And Marketing Expense,205449400000.0,187069700000.0,205252800000.0,187467900000.0,
General And Administrative Expense,,3590400000.0,3572100000.0,2914300000.0,2165700000.0
Rent And Landing Fees,,2599900000.0,2200100000.0,2416600000.0,1875800000.0
Gross Profit,793065400000.0,671234800000.0,555506400000.0,491715900000.0,
Cost Of Revenue,961242000000.0,813544100000.0,740283600000.0,672950600000.0,
Total Revenue,1754307400000.0,1484778900000.0,1295790000000.0,1164666500000.0,
Operating Revenue,1754307400000.0,1484778900000.0,1295790000000.0,1164666500000.0,
