,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-21781289.795918,0.0,442670.076275,-916640.0,
Tax Rate For Calcs,0.270912,0.267883,0.260394,0.2696,
Normalized EBITDA,3185800000.0,2848900000.0,3712400000.0,2917500000.0,
Total Unusual Items,-80400000.0,0.0,1700000.0,-3400000.0,
Total Unusual Items Excluding Goodwill,-80400000.0,0.0,1700000.0,-3400000.0,
Net Income From Continuing Operation Net Minority Interest,1339700000.0,1067500000.0,1677500000.0,991700000.0,
Reconciled Depreciation,1090300000.0,1097900000.0,1096700000.0,1123100000.0,
Reconciled Cost Of Revenue,4635400000.0,4419200000.0,5509300000.0,4967200000.0,
EBITDA,3105400000.0,2848900000.0,3683100000.0,2914100000.0,
EBIT,2015100000.0,1751000000.0,2586400000.0,1791000000.0,
Net Interest Income,-177600000.0,-292900000.0,52500000.0,-173200000.0,
Interest Expense,177600000.0,292900000.0,318300000.0,433300000.0,
Interest Income,,346100000.0,400100000.0,287400000.0,279100000.0
Normalized Income,1398318710.204082,1067500000.0,1676242670.076275,994183360.0,
Net Income From Continuing And Discontinued Operation,1339700000.0,1067500000.0,1677500000.0,991700000.0,
Total Expenses,21517200000.0,20192500000.0,21361300000.0,20543600000.0,
Rent Expense Supplemental,,33500000.0,31400000.0,28500000.0,18800000.0
Diluted Average Shares,226683587.0,226645435.0,226600000.0,226600000.0,
Basic Average Shares,226683587.0,226645435.0,226600000.0,226600000.0,
Diluted EPS,5.91,4.71,7.4,4.38,
Basic EPS,5.91,4.71,7.4,4.38,
Diluted NI Availto Com Stockholders,1339700000.0,1067500000.0,1677500000.0,991700000.0,
Net Income Common Stockholders,1339700000.0,1067500000.0,1677500000.0,991700000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1339700000.0,1067500000.0,1677500000.0,991700000.0,
Net Income Including Noncontrolling Interests,1339700000.0,1067500000.0,1677500000.0,991700000.0,
Net Income Continuous Operations,1339700000.0,1067500000.0,1677500000.0,991700000.0,
Tax Provision,497800000.0,390600000.0,590600000.0,366000000.0,
Pretax Income,1837500000.0,1458100000.0,2268100000.0,1357700000.0,
Other Non Operating Income Expenses,316800000.0,454700000.0,1600000.0,1800000.0,
Special Income Charges,-80400000.0,0.0,1700000.0,-3400000.0,
Other Special Charges,,4900000.0,-3800000.0,-1000000.0,-6200000.0
Write Off,,,,,0.0
Impairment Of Capital Assets,,13700000.0,2100000.0,4400000.0,32400000.0
Net Non Operating Interest Income Expense,-177600000.0,-292900000.0,52500000.0,-173200000.0,
Total Other Finance Cost,,18700000.0,29300000.0,27300000.0,32800000.0
Interest Expense Non Operating,177600000.0,292900000.0,318300000.0,433300000.0,
Interest Income Non Operating,,346100000.0,400100000.0,287400000.0,279100000.0
Operating Income,1778700000.0,1296300000.0,2217800000.0,1547500000.0,
Operating Expense,16881800000.0,15773300000.0,15852000000.0,15576400000.0,
Other Operating Expenses,10637800000.0,9826200000.0,9301300000.0,10069900000.0,
Depreciation And Amortization In Income Statement,1090300000.0,1097900000.0,1096700000.0,1123100000.0,
Amortization,,4900000.0,3400000.0,1200000.0,700000.0
Depreciation Income Statement,1090300000.0,1097900000.0,1093300000.0,1121900000.0,
Selling General And Administration,3458300000.0,3279700000.0,4084900000.0,3456000000.0,
Selling And Marketing Expense,3458300000.0,3279700000.0,3500200000.0,3347700000.0,
General And Administrative Expense,,143900000.0,181800000.0,108300000.0,96900000.0
Rent And Landing Fees,,33500000.0,31400000.0,28500000.0,18800000.0
Gross Profit,18660500000.0,17069600000.0,18069800000.0,17123900000.0,
Cost Of Revenue,4635400000.0,4419200000.0,5509300000.0,4967200000.0,
Total Revenue,23295900000.0,21488800000.0,23579100000.0,22091100000.0,
Operating Revenue,23295900000.0,21488800000.0,23579100000.0,22091100000.0,
