,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,0.0,0.0,2215528.717736,-122236.805473,
Tax Rate For Calcs,0.228754,0.231695,0.233263,0.240624,
Normalized EBITDA,290877000.0,140956000.0,138297000.0,129463000.0,
Total Unusual Items,0.0,0.0,9498000.0,-508000.0,
Total Unusual Items Excluding Goodwill,0.0,0.0,9498000.0,-508000.0,
Net Income From Continuing Operation Net Minority Interest,181910000.0,80410000.0,97999000.0,76373000.0,
Reconciled Depreciation,15355000.0,14256000.0,10263000.0,8497000.0,
Reconciled Cost Of Revenue,1785527000.0,757042000.0,795114000.0,822162000.0,
EBITDA,290877000.0,140956000.0,147795000.0,128955000.0,
EBIT,275522000.0,126700000.0,137532000.0,120458000.0,
Net Interest Income,-39657000.0,-22041000.0,1490000.0,-14650000.0,
Interest Expense,39657000.0,22041000.0,9719000.0,19886000.0,
Interest Income,,5916000.0,11209000.0,5236000.0,1239000.0
Normalized Income,181910000.0,80410000.0,90716528.717736,76758763.194527,
Net Income From Continuing And Discontinued Operation,181910000.0,80410000.0,97999000.0,76373000.0,
Total Expenses,2101182000.0,990873000.0,957684000.0,994003000.0,
Rent Expense Supplemental,,13626000.0,12453000.0,9618000.0,9063000.0
Diluted Average Shares,,10442857.0,9949836.0,10440000.0,10440000.0
Basic Average Shares,,10442857.0,9949836.0,10440000.0,10440000.0
Diluted EPS,,7.7,9.85,7.315421,4.41954
Basic EPS,,7.7,9.85,7.315421,4.41954
Diluted NI Availto Com Stockholders,181910000.0,80410000.0,97999000.0,76373000.0,
Net Income Common Stockholders,181910000.0,80410000.0,97999000.0,76373000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,181910000.0,80410000.0,97999000.0,76373000.0,
Net Income Including Noncontrolling Interests,181910000.0,80410000.0,97999000.0,76373000.0,
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0,
Net Income Continuous Operations,181910000.0,80410000.0,97999000.0,76373000.0,
Tax Provision,53955000.0,24249000.0,29814000.0,24200000.0,
Pretax Income,235865000.0,104659000.0,127813000.0,100572000.0,
Other Non Operating Income Expenses,58639000.0,51204000.0,4871000.0,3511000.0,
Special Income Charges,0.0,0.0,9498000.0,-508000.0,
Other Special Charges,,-18174000.0,-9498000.0,230000.0,-12636000.0
Write Off,,134000.0,0.0,278000.0,9402000.0
Net Non Operating Interest Income Expense,-39657000.0,-22041000.0,1490000.0,-14650000.0,
Total Other Finance Cost,,554000.0,,3022000.0,312000.0
Interest Expense Non Operating,39657000.0,22041000.0,9719000.0,19886000.0,
Interest Income Non Operating,,5916000.0,11209000.0,5236000.0,1239000.0
Operating Income,216884000.0,75496000.0,98391000.0,97479000.0,
Operating Expense,315655000.0,233831000.0,162570000.0,171841000.0,
Other Operating Expenses,199391000.0,126214000.0,7502000.0,12106000.0,
Depreciation And Amortization In Income Statement,15355000.0,14256000.0,10263000.0,8497000.0,
Depreciation Income Statement,15355000.0,14256000.0,10263000.0,8497000.0,
Selling General And Administration,,79975000.0,72349000.0,84595000.0,62954000.0
Selling And Marketing Expense,,33763000.0,37479000.0,41101000.0,19283000.0
General And Administrative Expense,,46212000.0,34870000.0,43494000.0,43671000.0
Rent And Landing Fees,,124000.0,446000.0,,
Gross Profit,532539000.0,309327000.0,260961000.0,269320000.0,
Cost Of Revenue,1785527000.0,757042000.0,795114000.0,822162000.0,
Total Revenue,2318066000.0,1066369000.0,1056075000.0,1091482000.0,
Operating Revenue,2318066000.0,1066369000.0,1056075000.0,1091482000.0,
