,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-232310688.783461,304992932.975958,-33215367.967212,-39691991.842068,
Tax Rate For Calcs,0.315725,0.29799,0.326923,0.336658,
Normalized EBITDA,25946800000.0,22006800000.0,21999000000.0,14032000000.0,
Total Unusual Items,-735800000.0,1023500000.0,-101600000.0,-117900000.0,
Total Unusual Items Excluding Goodwill,-735800000.0,1023500000.0,-101600000.0,-117900000.0,
Net Income From Continuing Operation Net Minority Interest,9924900000.0,8611200000.0,7908300000.0,4235700000.0,
Reconciled Depreciation,6529800000.0,6014500000.0,5726200000.0,4619200000.0,
Reconciled Cost Of Revenue,22376100000.0,20175400000.0,25024800000.0,21736100000.0,
EBITDA,25211000000.0,23030300000.0,21897400000.0,13914100000.0,
EBIT,18681200000.0,17015700000.0,16171200000.0,9294900000.0,
Net Interest Income,-4242700000.0,-4591800000.0,-3253100000.0,-2476100000.0,
Interest Expense,4242700000.0,4591800000.0,4435100000.0,3018800000.0,
Interest Income,,1362700000.0,1233700000.0,601000000.0,755849000.0
Normalized Income,10428389311.21654,7892692932.975958,7976684632.032788,4313908008.157932,
Net Income From Continuing And Discontinued Operation,9924900000.0,8611200000.0,7908300000.0,4235700000.0,
Total Expenses,119752500000.0,104534700000.0,96998700000.0,86314700000.0,
Rent Expense Supplemental,,427000000.0,340600000.0,269900000.0,214824000.0
Diluted Average Shares,77272656.0,77272075.0,77300000.0,77300000.0,
Basic Average Shares,77272656.0,77272075.0,77300000.0,77300000.0,
Diluted EPS,128.44,111.44,102.35,54.82,
Basic EPS,128.44,111.44,102.35,54.82,
Diluted NI Availto Com Stockholders,9924900000.0,8611200000.0,7908300000.0,4235700000.0,
Net Income Common Stockholders,9924900000.0,8611200000.0,7908300000.0,4235700000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,9924900000.0,8611200000.0,7908300000.0,4235700000.0,
Minority Interests,45000000.0,-110500000.0,9000000.0,72500000.0,
Net Income Including Noncontrolling Interests,9879900000.0,8721700000.0,7899300000.0,4163200000.0,
Net Income Continuous Operations,9879900000.0,8721700000.0,7899300000.0,4163200000.0,
Tax Provision,4558600000.0,3702200000.0,3836800000.0,2112900000.0,
Pretax Income,14438500000.0,12423900000.0,11736100000.0,6276100000.0,
Other Non Operating Income Expenses,1945400000.0,1729500000.0,83400000.0,163600000.0,
Special Income Charges,-735800000.0,1023500000.0,-166600000.0,-124400000.0,
Other Special Charges,478000000.0,-1023500000.0,164000000.0,124400000.0,
Write Off,,5400000.0,2600000.0,0.0,600000.0
Impairment Of Capital Assets,257800000.0,,,,
Restructuring And Mergern Acquisition,,,55000000.0,,
Net Non Operating Interest Income Expense,-4242700000.0,-4591800000.0,-3253100000.0,-2476100000.0,
Total Other Finance Cost,,62900000.0,51700000.0,58300000.0,48766000.0
Interest Expense Non Operating,4242700000.0,4591800000.0,4435100000.0,3018800000.0,
Interest Income Non Operating,,1362700000.0,1233700000.0,601000000.0,755849000.0
Operating Income,17470500000.0,14256800000.0,15026800000.0,8722600000.0,
Operating Expense,97376400000.0,84359300000.0,71973900000.0,64578600000.0,
Other Operating Expenses,49188100000.0,42530300000.0,31940700000.0,30794100000.0,
Depreciation And Amortization In Income Statement,6272000000.0,6014600000.0,5726200000.0,4619200000.0,
Amortization,,209400000.0,206100000.0,90000000.0,35364000.0
Depreciation Income Statement,6272000000.0,6014600000.0,5520100000.0,4529200000.0,
Selling General And Administration,31462300000.0,26797000000.0,29706500000.0,24756900000.0,
Selling And Marketing Expense,31462300000.0,26797000000.0,28151700000.0,23340500000.0,
General And Administrative Expense,,1773500000.0,1554800000.0,1416400000.0,1276171000.0
Rent And Landing Fees,,427000000.0,340600000.0,269900000.0,214824000.0
Gross Profit,114846900000.0,98616100000.0,87000700000.0,73301200000.0,
Cost Of Revenue,22376100000.0,20175400000.0,25024800000.0,21736100000.0,
Total Revenue,137223000000.0,118791500000.0,112025500000.0,95037300000.0,
Operating Revenue,137223000000.0,118791500000.0,112025500000.0,95037300000.0,
