,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-44675979.593663,-106411664.469013,56939630.575161,52165435.563538,
Tax Rate For Calcs,0.261416,0.300259,0.333957,0.309404,
Normalized EBITDA,11104300000.0,9103900000.0,11094500000.0,8777200000.0,
Total Unusual Items,-170900000.0,-354400000.0,170500000.0,168600000.0,
Total Unusual Items Excluding Goodwill,-170900000.0,-354400000.0,170500000.0,168600000.0,
Net Income From Continuing Operation Net Minority Interest,4120500000.0,2768300000.0,4879200000.0,3586200000.0,
Reconciled Depreciation,3237800000.0,2994200000.0,2459500000.0,2283300000.0,
Reconciled Cost Of Revenue,43677200000.0,40404200000.0,49015800000.0,48346200000.0,
EBITDA,10933400000.0,8749500000.0,11265000000.0,8945800000.0,
EBIT,7695600000.0,5755300000.0,8805500000.0,6662500000.0,
Net Interest Income,-2109100000.0,-1811700000.0,-905100000.0,-1009900000.0,
Interest Expense,2109100000.0,1811700000.0,1480600000.0,1317700000.0,
Interest Income,,307900000.0,599200000.0,324100000.0,298600000.0
Normalized Income,4246724020.406337,3016288335.530987,4765639630.575161,3469765435.563538,
Net Income From Continuing And Discontinued Operation,4120500000.0,2768300000.0,4879200000.0,3586200000.0,
Total Expenses,60776800000.0,56274600000.0,59817800000.0,58408200000.0,
Rent Expense Supplemental,,,107200000.0,119500000.0,118900000.0
Diluted Average Shares,124148840.0,123972235.0,122658985.0,117670066.0,
Basic Average Shares,124148840.0,123972235.0,122658985.0,117670066.0,
Diluted EPS,33.19,22.33,39.78,30.48,
Basic EPS,33.19,22.33,39.78,30.48,
Diluted NI Availto Com Stockholders,4120500000.0,2768300000.0,4879200000.0,3586200000.0,
Net Income Common Stockholders,4120500000.0,2768300000.0,4879200000.0,3586200000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,4120500000.0,2768300000.0,4879200000.0,3586200000.0,
Minority Interests,-5600000.0,8800000.0,500000.0,-104900000.0,
Net Income Including Noncontrolling Interests,4126100000.0,2759500000.0,4878700000.0,3691100000.0,
Net Income Continuous Operations,4126100000.0,2759500000.0,4878700000.0,3691100000.0,
Tax Provision,1460400000.0,1184100000.0,2446200000.0,1653700000.0,
Pretax Income,5586500000.0,3943600000.0,7324900000.0,5344800000.0,
Other Non Operating Income Expenses,1122500000.0,464300000.0,300000.0,82500000.0,
Special Income Charges,-170900000.0,-354400000.0,80200000.0,3100000.0,
Other Special Charges,,353300000.0,-80200000.0,-3100000.0,207700000.0
Net Non Operating Interest Income Expense,-2109100000.0,-1811700000.0,-905100000.0,-1009900000.0,
Total Other Finance Cost,,19000000.0,23700000.0,16300000.0,33600000.0
Interest Expense Non Operating,2109100000.0,1811700000.0,1480600000.0,1317700000.0,
Interest Income Non Operating,,307900000.0,599200000.0,324100000.0,298600000.0
Operating Income,6849500000.0,5651600000.0,8062000000.0,6103800000.0,
Operating Expense,17099600000.0,15870400000.0,10802000000.0,10062000000.0,
Other Operating Expenses,9046500000.0,8481700000.0,1021000000.0,891900000.0,
Depreciation And Amortization In Income Statement,3237800000.0,2994200000.0,2459500000.0,2283300000.0,
Amortization,,16300000.0,18600000.0,17500000.0,12000000.0
Depreciation Income Statement,3237800000.0,2994200000.0,2440900000.0,2265800000.0,
Selling General And Administration,,3247100000.0,3020700000.0,2850700000.0,1516500000.0
Selling And Marketing Expense,,2032200000.0,1930000000.0,1757000000.0,1427300000.0
General And Administrative Expense,,1214900000.0,1090700000.0,1093700000.0,89200000.0
Rent And Landing Fees,,160300000.0,107200000.0,119500000.0,118900000.0
Gross Profit,23949100000.0,21522000000.0,18864000000.0,16165800000.0,
Cost Of Revenue,43677200000.0,40404200000.0,49015800000.0,48346200000.0,
Total Revenue,67626300000.0,61926200000.0,67879800000.0,64512000000.0,
Operating Revenue,67626300000.0,61926200000.0,67879800000.0,64512000000.0,
