,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-9621273.267835,-39887233.928628,-16689607.417049,1375500.0,
Tax Rate For Calcs,0.098457,0.396363,0.36441,0.3,
Normalized EBITDA,2242077000.0,1429772000.0,2302157000.0,1660416000.0,
Total Unusual Items,-97721000.0,-100633000.0,-45799000.0,4585000.0,
Total Unusual Items Excluding Goodwill,-97721000.0,-100633000.0,-45799000.0,4585000.0,
Net Income From Continuing Operation Net Minority Interest,1237499000.0,340574000.0,932187000.0,442872000.0,
Reconciled Depreciation,581349000.0,566354000.0,560637000.0,491678000.0,
Reconciled Cost Of Revenue,6704418000.0,6930612000.0,9571580000.0,9061543000.0,
EBITDA,2144356000.0,1329139000.0,2256358000.0,1665001000.0,
EBIT,1563007000.0,762785000.0,1695721000.0,1173323000.0,
Net Interest Income,-190361000.0,-198583000.0,-217957000.0,-200375000.0,
Interest Expense,190361000.0,198583000.0,229073000.0,260973000.0,
Interest Income,,30535000.0,23445000.0,68866000.0,17148000.0
Normalized Income,1325598726.732165,401319766.071372,961296392.582951,439662500.0,
Net Income From Continuing And Discontinued Operation,953915000.0,251972000.0,932187000.0,442872000.0,
Total Expenses,12875824000.0,12969093000.0,14803111000.0,15066226000.0,
Rent Expense Supplemental,,24419000.0,18320000.0,17870000.0,16000000.0
Diluted Average Shares,,45647101.0,45232790.0,45232790.0,45232790.0
Basic Average Shares,,45647101.0,45232790.0,45232790.0,45232790.0
Diluted EPS,,5.52,20.608656,9.79095,20.69
Basic EPS,,5.52,20.608656,9.79095,20.69
Diluted NI Availto Com Stockholders,953915000.0,251972000.0,932187000.0,442872000.0,
Net Income Common Stockholders,953915000.0,251972000.0,932187000.0,442872000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,953915000.0,251972000.0,932187000.0,442872000.0,
Net Income Including Noncontrolling Interests,953915000.0,251972000.0,932187000.0,442872000.0,
Net Income Discontinuous Operations,-283584000.0,-88602000.0,,,
Net Income Continuous Operations,1237499000.0,340574000.0,932187000.0,442872000.0,
Tax Provision,135146000.0,223629000.0,534461000.0,469478000.0,
Pretax Income,1372646000.0,564202000.0,1466648000.0,912350000.0,
Other Non Operating Income Expenses,315707000.0,211493000.0,99470000.0,77777000.0,
Special Income Charges,-97721000.0,-100633000.0,-45799000.0,4585000.0,
Other Special Charges,97721000.0,66272000.0,-29739000.0,-4585000.0,
Write Off,,35547000.0,75538000.0,0.0,
Net Non Operating Interest Income Expense,-190361000.0,-198583000.0,-229562000.0,-200375000.0,
Total Other Finance Cost,,31761000.0,12329000.0,8268000.0,10557000.0
Interest Expense Non Operating,190361000.0,198583000.0,229073000.0,260973000.0,
Interest Income Non Operating,,30535000.0,23445000.0,68866000.0,17148000.0
Operating Income,1345020000.0,651925000.0,1631023000.0,1030368000.0,
Operating Expense,6171406000.0,6038481000.0,5231531000.0,6004683000.0,
Other Operating Expenses,4904018000.0,4809928000.0,34037000.0,114338000.0,
Depreciation And Amortization In Income Statement,554945000.0,540700000.0,560637000.0,491678000.0,
Depreciation Income Statement,554945000.0,540700000.0,560637000.0,491678000.0,
Research And Development,,1000.0,128000.0,17000.0,242000.0
Selling General And Administration,,3447940000.0,3896585000.0,4737104000.0,5409908000.0
Selling And Marketing Expense,,3276112000.0,3731463000.0,4584171000.0,5258472000.0
General And Administrative Expense,,171828000.0,165122000.0,152933000.0,151436000.0
Rent And Landing Fees,,24419000.0,18320000.0,17870000.0,16000000.0
Gross Profit,7516426000.0,6690406000.0,6862554000.0,7035051000.0,
Cost Of Revenue,6704418000.0,6930612000.0,9571580000.0,9061543000.0,
Total Revenue,14220844000.0,13621018000.0,16434134000.0,16096594000.0,
Operating Revenue,14220844000.0,13621018000.0,16434134000.0,16096594000.0,
