,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,-23509200.0,2511752.752442,-1082693.27766,12798550.666849
Tax Rate For Calcs,0.4,0.37283,0.378696,0.360188
Normalized EBITDA,5675697000.0,3198747000.0,4644845000.0,3723502000.0
Total Unusual Items,-58773000.0,6737000.0,-2859000.0,35533000.0
Total Unusual Items Excluding Goodwill,-58773000.0,6737000.0,-2859000.0,35533000.0
Net Income From Continuing Operation Net Minority Interest,3376861000.0,912464000.0,1748527000.0,1228151000.0
Reconciled Depreciation,2311080000.0,1530128000.0,1491645000.0,1468171000.0
Reconciled Cost Of Revenue,7291040000.0,5002570000.0,5458832000.0,4585952000.0
EBITDA,5616924000.0,3205484000.0,4641986000.0,3759035000.0
EBIT,3305844000.0,1675356000.0,3150341000.0,2290864000.0
Net Interest Income,-101487000.0,-209887000.0,-330553000.0,-368577000.0
Interest Expense,122794000.0,220466000.0,336053000.0,371315000.0
Interest Income,25747000.0,16972000.0,10991000.0,9203000.0
Normalized Income,3412124800.0,908238752.752442,1750303306.72234,1205416550.666849
Net Income From Continuing And Discontinued Operation,3376861000.0,912464000.0,1748527000.0,1228151000.0
Total Expenses,24741144000.0,25535178000.0,28743947000.0,27088021000.0
Rent Expense Supplemental,63870000.0,111250000.0,113292000.0,123276000.0
Diluted Average Shares,205440696.0,205057831.0,204937642.0,204868760.0
Basic Average Shares,205440696.0,204951341.0,204868760.0,204868760.0
Diluted EPS,16.44,4.45,8.53,5.99
Basic EPS,16.44,4.45,8.53,5.99
Diluted NI Availto Com Stockholders,3376861000.0,912464000.0,1748527000.0,1228151000.0
Net Income Common Stockholders,3376861000.0,912464000.0,1748527000.0,1228151000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3376861000.0,912464000.0,1748527000.0,1228151000.0
Net Income Including Noncontrolling Interests,3376861000.0,912464000.0,1748527000.0,1228151000.0
Net Income Continuous Operations,3376861000.0,912464000.0,1748527000.0,1228151000.0
Tax Provision,-193811000.0,542426000.0,1065761000.0,691398000.0
Pretax Income,3183050000.0,1454890000.0,2814288000.0,1919549000.0
Other Non Operating Income Expenses,169521000.0,136361000.0,85524000.0,63748000.0
Special Income Charges,-65670000.0,-4528000.0,-3070000.0,35482000.0
Other Special Charges,65670000.0,3556000.0,2733000.0,-40932000.0
Write Off,0.0,972000.0,337000.0,5450000.0
Net Non Operating Interest Income Expense,-101487000.0,-209887000.0,-330553000.0,-368577000.0
Total Other Finance Cost,4440000.0,6393000.0,5491000.0,6465000.0
Interest Expense Non Operating,122794000.0,220466000.0,336053000.0,371315000.0
Interest Income Non Operating,25747000.0,16972000.0,10991000.0,9203000.0
Operating Income,3173942000.0,1505593000.0,3021444000.0,2254582000.0
Operating Expense,17450104000.0,20532608000.0,23285115000.0,22502069000.0
Other Operating Expenses,10547088000.0,8467441000.0,10402761000.0,10581523000.0
Depreciation And Amortization In Income Statement,2311080000.0,1530128000.0,1491645000.0,1468171000.0
Amortization,60148000.0,55314000.0,27938000.0,25905000.0
Depreciation Income Statement,2250932000.0,1474814000.0,1463707000.0,1442266000.0
Selling General And Administration,2915750000.0,8438823000.0,9496823000.0,8677906000.0
Selling And Marketing Expense,2856097000.0,8207974000.0,9164585000.0,8436982000.0
General And Administrative Expense,59653000.0,230849000.0,332238000.0,240924000.0
Rent And Landing Fees,63870000.0,111250000.0,113292000.0,123276000.0
Gross Profit,20624046000.0,22038201000.0,26306559000.0,24756651000.0
Cost Of Revenue,7291040000.0,5002570000.0,5458832000.0,4585952000.0
Total Revenue,27915086000.0,27040771000.0,31765391000.0,29342603000.0
Operating Revenue,27915086000.0,27040771000.0,31765391000.0,29342603000.0
