,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,306674672.159286,437580000.0,185013506.225257,-15525372.630632,
Tax Rate For Calcs,0.275935,0.3,0.070916,0.11283,
Normalized EBITDA,7503600000.0,6099500000.0,5096500000.0,4033200000.0,
Total Unusual Items,1111400000.0,1458600000.0,2608900000.0,-137600000.0,
Total Unusual Items Excluding Goodwill,1111400000.0,1458600000.0,2608900000.0,-137600000.0,
Net Income From Continuing Operation Net Minority Interest,729000000.0,799300000.0,1811100000.0,-1032300000.0,
Reconciled Depreciation,5392000000.0,4834200000.0,4138000000.0,3900600000.0,
Reconciled Cost Of Revenue,45458900000.0,42444100000.0,29858000000.0,28304900000.0,
EBITDA,8615000000.0,7558100000.0,7705400000.0,3895600000.0,
EBIT,3223000000.0,2723900000.0,3567400000.0,-5000000.0,
Net Interest Income,-1766500000.0,-2225400000.0,-1760400000.0,-1758500000.0,
Interest Expense,1766500000.0,2225400000.0,1824500000.0,1772900000.0,
Interest Income,,1086900000.0,246000000.0,207100000.0,201000000.0
Normalized Income,-75725327.840714,-221720000.0,-612786493.774743,-910225372.630632,
Net Income From Continuing And Discontinued Operation,729000000.0,799300000.0,1811100000.0,-1032300000.0,
Total Expenses,71634200000.0,68008700000.0,73145900000.0,72559800000.0,
Rent Expense Supplemental,,515000000.0,441600000.0,464300000.0,511400000.0
Diluted Average Shares,502758621.0,502704403.0,503356580.0,503356580.0,
Basic Average Shares,502758621.0,502704403.0,503356580.0,503356580.0,
Diluted EPS,1.45,1.59,3.6,-2.05,
Basic EPS,1.45,1.59,3.6,-2.05,
Diluted NI Availto Com Stockholders,729000000.0,799300000.0,1811100000.0,-1032300000.0,
Net Income Common Stockholders,729000000.0,799300000.0,1811100000.0,-1032300000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,729000000.0,799300000.0,1811100000.0,-1032300000.0,
Minority Interests,428900000.0,348200000.0,191800000.0,545000000.0,
Net Income Including Noncontrolling Interests,300100000.0,451100000.0,1619300000.0,-1577300000.0,
Net Income Continuous Operations,300100000.0,451100000.0,1619300000.0,-1577300000.0,
Tax Provision,401900000.0,-431100000.0,123600000.0,-200600000.0,
Pretax Income,1456500000.0,498500000.0,1742900000.0,-1777900000.0,
Other Non Operating Income Expenses,350600000.0,1281800000.0,67900000.0,128100000.0,
Special Income Charges,1111400000.0,1458600000.0,2581600000.0,-160300000.0,
Other Special Charges,-1111400000.0,-1458600000.0,-3387400000.0,23000000.0,
Write Off,,56100000.0,805800000.0,68900000.0,673400000.0
Impairment Of Capital Assets,,,-1300000.0,-1700000.0,6000000.0
Restructuring And Mergern Acquisition,,49800000.0,0.0,68400000.0,18800000.0
Net Non Operating Interest Income Expense,-1766500000.0,-2225400000.0,-1760400000.0,-1758500000.0,
Total Other Finance Cost,,171300000.0,181900000.0,192700000.0,148700000.0
Interest Expense Non Operating,1766500000.0,2225400000.0,1824500000.0,1772900000.0,
Interest Income Non Operating,,1086900000.0,246000000.0,207100000.0,201000000.0
Operating Income,1625800000.0,-204100000.0,167000000.0,-464400000.0,
Operating Expense,26175300000.0,25564600000.0,43287900000.0,44254900000.0,
Other Operating Expenses,5713400000.0,6160800000.0,16684800000.0,18804000000.0,
Depreciation And Amortization In Income Statement,5307100000.0,4760800000.0,4138000000.0,3900600000.0,
Amortization,,88100000.0,99800000.0,83000000.0,59400000.0
Depreciation Income Statement,5307100000.0,4760800000.0,4038200000.0,3817600000.0,
Research And Development,,38100000.0,44500000.0,49700000.0,52800000.0
Selling General And Administration,9258300000.0,8680100000.0,16459200000.0,15986400000.0,
Selling And Marketing Expense,9258300000.0,8680100000.0,11228000000.0,10238500000.0,
General And Administrative Expense,,6805900000.0,5231200000.0,5747900000.0,5119000000.0
Rent And Landing Fees,,245900000.0,225000000.0,232400000.0,209300000.0
Gross Profit,27801100000.0,25360500000.0,43454900000.0,43790500000.0,
Cost Of Revenue,45458900000.0,42444100000.0,29858000000.0,28304900000.0,
Total Revenue,73260000000.0,67804600000.0,73312900000.0,72095400000.0,
Operating Revenue,73260000000.0,67804600000.0,73312900000.0,72095400000.0,
