,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,1137329204.454138,319558100.278726,10059980.0,1153740.0,
Tax Rate For Calcs,0.205602,0.160252,0.2534,0.2747,
Normalized EBITDA,14774400000.0,12737100000.0,15102700000.0,11866100000.0,
Total Unusual Items,5531700000.0,1994100000.0,39700000.0,4200000.0,
Total Unusual Items Excluding Goodwill,5531700000.0,1994100000.0,39700000.0,4200000.0,
Net Income From Continuing Operation Net Minority Interest,6986500000.0,2726500000.0,3599500000.0,3145200000.0,
Reconciled Depreciation,7401600000.0,6950500000.0,6463100000.0,5059800000.0,
Reconciled Cost Of Revenue,39753100000.0,37943000000.0,48704700000.0,45334400000.0,
EBITDA,20306100000.0,14731200000.0,15142400000.0,11870300000.0,
EBIT,12904500000.0,7780700000.0,8679300000.0,6810500000.0,
Net Interest Income,-4193500000.0,-4587600000.0,-4025100000.0,-2310600000.0,
Interest Expense,4193500000.0,4587600000.0,3262700000.0,2090700000.0,
Interest Income,,181300000.0,136300000.0,101800000.0,113200000.0
Normalized Income,2592129204.454138,1051958100.278726,3569859980.0,3142153740.0,
Net Income From Continuing And Discontinued Operation,6986500000.0,2726500000.0,3599500000.0,3145200000.0,
Total Expenses,83329400000.0,79809100000.0,84290100000.0,74419800000.0,
Rent Expense Supplemental,,178100000.0,167700000.0,159000000.0,146000000.0
Diluted Average Shares,,236470078.0,228184346.0,228590905.0,228600000.0
Basic Average Shares,,236470078.0,228184346.0,228590905.0,228600000.0
Diluted EPS,,11.53,15.77,13.76,39.0
Basic EPS,,11.53,15.77,13.76,39.0
Diluted NI Availto Com Stockholders,6986500000.0,2726500000.0,3599500000.0,3145200000.0,
Net Income Common Stockholders,6986500000.0,2726500000.0,3599500000.0,3145200000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,6986500000.0,2726500000.0,3599500000.0,3145200000.0,
Minority Interests,-1400000.0,30800000.0,34600000.0,-2300000.0,
Net Income Including Noncontrolling Interests,6987900000.0,2695700000.0,3564900000.0,3147500000.0,
Net Income Continuous Operations,6987900000.0,2695700000.0,3564900000.0,3147500000.0,
Tax Provision,1791000000.0,511700000.0,1481300000.0,1299900000.0,
Pretax Income,8711000000.0,3193100000.0,5416600000.0,4719800000.0,
Other Non Operating Income Expenses,414600000.0,411700000.0,211900000.0,208700000.0,
Special Income Charges,5531700000.0,1994100000.0,38600000.0,4200000.0,
Other Special Charges,,-2000100000.0,-38600000.0,-4600000.0,2100000.0
Write Off,,500000.0,0.0,400000.0,0.0
Net Non Operating Interest Income Expense,-4193500000.0,-4587600000.0,-4025100000.0,-2310600000.0,
Total Other Finance Cost,,1169800000.0,898700000.0,321700000.0,168400000.0
Interest Expense Non Operating,4193500000.0,4587600000.0,3262700000.0,2090700000.0,
Interest Income Non Operating,,181300000.0,136300000.0,101800000.0,113200000.0
Operating Income,6958200000.0,5374900000.0,9196800000.0,6803800000.0,
Operating Expense,43576300000.0,41866100000.0,35585400000.0,29085400000.0,
Other Operating Expenses,30300400000.0,29415200000.0,21463100000.0,17797700000.0,
Depreciation And Amortization In Income Statement,7401600000.0,6950500000.0,6463100000.0,5059800000.0,
Amortization,,900100000.0,839900000.0,446400000.0,241600000.0
Depreciation Income Statement,7401600000.0,6950500000.0,5623200000.0,4613400000.0,
Selling General And Administration,,1826000000.0,2271300000.0,1587900000.0,1382900000.0
Selling And Marketing Expense,,1346500000.0,1772000000.0,1111500000.0,933200000.0
General And Administrative Expense,,479500000.0,499300000.0,476400000.0,449700000.0
Rent And Landing Fees,,178100000.0,167700000.0,159000000.0,146000000.0
Gross Profit,50534500000.0,47241000000.0,44782200000.0,35889200000.0,
Cost Of Revenue,39753100000.0,37943000000.0,48704700000.0,45334400000.0,
Total Revenue,90287600000.0,85184000000.0,93486900000.0,81223600000.0,
Operating Revenue,90287600000.0,85184000000.0,93486900000.0,81223600000.0,
