,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,0.0,0.0,663292019.46472,216676878.210616,
Tax Rate For Calcs,0.237395,0.143125,0.190268,0.1511,
Normalized EBITDA,52986900000.0,45232500000.0,47628500000.0,32718900000.0,
Total Unusual Items,,4218300000.0,3486100000.0,1434000000.0,2331400000.0
Total Unusual Items Excluding Goodwill,,4218300000.0,3486100000.0,1434000000.0,2331400000.0
Net Income From Continuing Operation Net Minority Interest,17435600000.0,11227700000.0,23957000000.0,12707000000.0,
Reconciled Depreciation,27939600000.0,30067800000.0,18973200000.0,16606700000.0,
Reconciled Cost Of Revenue,71801100000.0,70198000000.0,86909400000.0,83151800000.0,
EBITDA,52986900000.0,45232500000.0,51114600000.0,34152900000.0,
EBIT,25047300000.0,15164700000.0,32141400000.0,17546200000.0,
Net Interest Income,-2117200000.0,-2049600000.0,126400000.0,434100000.0,
Interest Expense,2117200000.0,2049600000.0,2549400000.0,2595800000.0,
Interest Income,,1811600000.0,2709800000.0,3062800000.0,3157300000.0
Normalized Income,17435600000.0,11227700000.0,21134192019.46472,11489676878.210615,
Net Income From Continuing And Discontinued Operation,17435600000.0,11227700000.0,23957000000.0,12707000000.0,
Total Expenses,190995700000.0,183555800000.0,175011100000.0,161460200000.0,
Diluted Average Shares,36080622.0,36081046.0,36080748.0,36080748.0,
Basic Average Shares,36080622.0,36081046.0,36080748.0,36080748.0,
Diluted EPS,483.24,311.18,663.98,352.18,
Basic EPS,483.24,311.18,663.98,352.18,
Diluted NI Availto Com Stockholders,17435600000.0,11227700000.0,23957000000.0,12707000000.0,
Net Income Common Stockholders,17435600000.0,11227700000.0,23957000000.0,12707000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,17435600000.0,11227700000.0,23957000000.0,12707000000.0,
Minority Interests,-51000000.0,-10300000.0,-4600000.0,15600000.0,
Net Income Including Noncontrolling Interests,17486600000.0,11238000000.0,23961600000.0,12691400000.0,
Net Income Continuous Operations,17486600000.0,11238000000.0,23961600000.0,12691400000.0,
Tax Provision,5443500000.0,1877100000.0,5630400000.0,2259000000.0,
Pretax Income,22930100000.0,13115100000.0,29592000000.0,14950400000.0,
Other Non Operating Income Expenses,6608300000.0,5892200000.0,2100000.0,8200000.0,
Special Income Charges,,233700000.0,377500000.0,142100000.0,158700000.0
Other Special Charges,,-243800000.0,-394600000.0,-246800000.0,-163200000.0
Write Off,,10100000.0,17100000.0,104700000.0,4500000.0
Net Non Operating Interest Income Expense,-2117200000.0,-2049600000.0,126400000.0,434100000.0,
Total Other Finance Cost,,37900000.0,34000000.0,32900000.0,35200000.0
Interest Expense Non Operating,2117200000.0,2049600000.0,2549400000.0,2595800000.0,
Interest Income Non Operating,,1811600000.0,2709800000.0,3062800000.0,3157300000.0
Operating Income,18439000000.0,9272500000.0,25905500000.0,12950200000.0,
Operating Expense,119194600000.0,113357800000.0,88101700000.0,78308400000.0,
Other Operating Expenses,30494400000.0,27964100000.0,13889000000.0,12285800000.0,
Depreciation And Amortization In Income Statement,27939600000.0,30067800000.0,18973200000.0,16606700000.0,
Depreciation Income Statement,27939600000.0,30067800000.0,18973200000.0,16606700000.0,
Selling General And Administration,47737200000.0,43847600000.0,47360000000.0,42883200000.0,
Selling And Marketing Expense,47737200000.0,43847600000.0,46074400000.0,41906500000.0,
General And Administrative Expense,,1093300000.0,1285600000.0,976700000.0,175600000.0
Gross Profit,137633600000.0,122630300000.0,114007200000.0,91258600000.0,
Cost Of Revenue,71801100000.0,70198000000.0,86909400000.0,83151800000.0,
Total Revenue,209434700000.0,192828300000.0,200916600000.0,174410400000.0,
Operating Revenue,209434700000.0,192828300000.0,200916600000.0,174410400000.0,
