,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-16613676.944317,-6391268.630442,4429054.104736,22192554.139407,
Tax Rate For Calcs,0.31827,0.319563,0.304068,0.279362,
Normalized EBITDA,2690700000.0,2299000000.0,2603195000.0,1931259000.0,
Total Unusual Items,-52200000.0,-20000000.0,14566000.0,79440000.0,
Total Unusual Items Excluding Goodwill,-52200000.0,-20000000.0,14566000.0,79440000.0,
Net Income From Continuing Operation Net Minority Interest,811900000.0,600700000.0,968894000.0,714916000.0,
Reconciled Depreciation,1074800000.0,902600000.0,725122000.0,678525000.0,
Reconciled Cost Of Revenue,14160600000.0,12803900000.0,18141747000.0,17986876000.0,
EBITDA,2638500000.0,2279000000.0,2617761000.0,2010699000.0,
EBIT,1563700000.0,1376400000.0,1892639000.0,1332174000.0,
Net Interest Income,-477200000.0,-524300000.0,-390865000.0,-329773000.0,
Interest Expense,477200000.0,524300000.0,464557000.0,403599000.0,
Interest Income,,41423000.0,73692000.0,73826000.0,57558000.0
Normalized Income,847486323.055683,614308731.369558,958757054.104736,657668554.139407,
Net Income From Continuing And Discontinued Operation,811900000.0,600700000.0,968894000.0,714916000.0,
Total Expenses,26202400000.0,25126900000.0,24116489000.0,23506433000.0,
Rent Expense Supplemental,,28249000.0,27358000.0,15600000.0,9357000.0
Diluted Average Shares,41088057.0,41003413.0,42164195.0,42474208.0,
Basic Average Shares,41005051.0,41003413.0,42120624.0,42474208.0,
Diluted EPS,19.76,14.65,22.98,16.83,
Basic EPS,19.8,14.65,23.0,16.83,
Diluted NI Availto Com Stockholders,811900000.0,600700000.0,968894000.0,714916000.0,
Net Income Common Stockholders,811900000.0,600700000.0,968894000.0,714916000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,811900000.0,600700000.0,968894000.0,714916000.0,
Minority Interests,71200000.0,20900000.0,-24954000.0,45750000.0,
Net Income Including Noncontrolling Interests,740700000.0,579800000.0,993848000.0,669166000.0,
Net Income Continuous Operations,740700000.0,579800000.0,993848000.0,669166000.0,
Tax Provision,345800000.0,272300000.0,434234000.0,259409000.0,
Pretax Income,1086500000.0,852100000.0,1428082000.0,928575000.0,
Other Non Operating Income Expenses,113200000.0,90200000.0,10518000.0,26591000.0,
Special Income Charges,-52200000.0,-20000000.0,8240000.0,68323000.0,
Other Special Charges,,-11020000.0,-32200000.0,-84992000.0,-40017000.0
Write Off,,12989000.0,12520000.0,14289000.0,28653000.0
Impairment Of Capital Assets,,7820000.0,11440000.0,2380000.0,1808000.0
Net Non Operating Interest Income Expense,-477200000.0,-524300000.0,-390865000.0,-329773000.0,
Interest Expense Non Operating,477200000.0,524300000.0,464557000.0,403599000.0,
Interest Income Non Operating,,41423000.0,73692000.0,73826000.0,57558000.0
Operating Income,1502700000.0,1306200000.0,1788447000.0,1143997000.0,
Operating Expense,12041800000.0,12323000000.0,5974742000.0,5519557000.0,
Other Operating Expenses,7554700000.0,8027500000.0,1133353000.0,927770000.0,
Depreciation And Amortization In Income Statement,1074800000.0,902600000.0,725122000.0,678525000.0,
Amortization,,1803000.0,1810000.0,,
Depreciation Income Statement,1074800000.0,902600000.0,723312000.0,678525000.0,
Selling General And Administration,,1108022000.0,1131506000.0,1011921000.0,816285000.0
Selling And Marketing Expense,,956229000.0,1005336000.0,911502000.0,700999000.0
General And Administrative Expense,,151793000.0,126170000.0,100419000.0,115286000.0
Rent And Landing Fees,,28249000.0,27358000.0,15600000.0,9357000.0
Gross Profit,13544500000.0,13629200000.0,7763189000.0,6663554000.0,
Cost Of Revenue,14160600000.0,12803900000.0,18141747000.0,17986876000.0,
Total Revenue,27705100000.0,26433100000.0,25904936000.0,24650430000.0,
Operating Revenue,27705100000.0,26433100000.0,25904936000.0,24650430000.0,
