,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,45928394.97226,114961393.186606,123360507.478404,59404533.470111,
Tax Rate For Calcs,0.231844,0.22449,0.238839,0.221328,
Normalized EBITDA,16549300000.0,15526600000.0,16643000000.0,13543800000.0,
Total Unusual Items,240500000.0,512100000.0,516500000.0,268400000.0,
Total Unusual Items Excluding Goodwill,198100000.0,512100000.0,516500000.0,268400000.0,
Net Income From Continuing Operation Net Minority Interest,9539800000.0,9608800000.0,10697200000.0,8653300000.0,
Reconciled Depreciation,4282800000.0,3586200000.0,2983800000.0,2633900000.0,
Reconciled Cost Of Revenue,76423200000.0,72228300000.0,69197100000.0,66540700000.0,
EBITDA,16789800000.0,16038700000.0,17159500000.0,13812200000.0,
EBIT,12507000000.0,12452500000.0,14175700000.0,11178300000.0,
Net Interest Income,-155600000.0,-83900000.0,-14900000.0,-55900000.0,
Interest Expense,87900000.0,62200000.0,121900000.0,65400000.0,
Interest Income,134500000.0,35100000.0,146300000.0,24300000.0,
Normalized Income,9430028394.97226,9211661393.186605,10304060507.478403,8444304533.470111,
Net Income From Continuing And Discontinued Operation,9539800000.0,9608800000.0,10697200000.0,8653300000.0,
Total Expenses,99791500000.0,92680700000.0,88229800000.0,81864900000.0,
Rent Expense Supplemental,117200000.0,86300000.0,67500000.0,42400000.0,
Diluted Average Shares,127026870.0,127026870.0,127026870.0,127026870.0,
Basic Average Shares,127026870.0,127026870.0,127026870.0,127026870.0,
Diluted EPS,75.1,75.64,84.21,68.12,
Basic EPS,75.1,75.64,84.21,68.12,
Diluted NI Availto Com Stockholders,9539800000.0,9608800000.0,10697200000.0,8653300000.0,
Net Income Common Stockholders,9539800000.0,9608800000.0,10697200000.0,8653300000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,9539800000.0,9608800000.0,10697200000.0,8653300000.0,
Net Income Including Noncontrolling Interests,9539800000.0,9608800000.0,10697200000.0,8653300000.0,
Net Income Continuous Operations,9539800000.0,9608800000.0,10697200000.0,8653300000.0,
Tax Provision,2879300000.0,2781500000.0,3356600000.0,2459600000.0,
Pretax Income,12419100000.0,12390300000.0,14053800000.0,11112900000.0,
Other Non Operating Income Expenses,37200000.0,47000000.0,30300000.0,21400000.0,
Special Income Charges,-64300000.0,27700000.0,39900000.0,34400000.0,
Other Special Charges,-22600000.0,-28800000.0,-39900000.0,-34400000.0,
Write Off,44500000.0,1100000.0,,500000.0,400000.0
Net Non Operating Interest Income Expense,-155600000.0,-83900000.0,-14900000.0,-55900000.0,
Total Other Finance Cost,202200000.0,56800000.0,39300000.0,14800000.0,
Interest Expense Non Operating,87900000.0,62200000.0,121900000.0,65400000.0,
Interest Income Non Operating,134500000.0,35100000.0,146300000.0,24300000.0,
Operating Income,11558000000.0,10910300000.0,12575200000.0,9509000000.0,
Operating Expense,23368300000.0,20452400000.0,19032700000.0,15324200000.0,
Other Operating Expenses,6184700000.0,5566000000.0,5273100000.0,4246100000.0,
Depreciation And Amortization In Income Statement,4240300000.0,3586200000.0,2983800000.0,2633900000.0,
Amortization,106700000.0,,,,
Depreciation Income Statement,4133600000.0,3586200000.0,2983800000.0,2633900000.0,
Selling General And Administration,3799200000.0,3564300000.0,3479000000.0,2808800000.0,
Selling And Marketing Expense,3205500000.0,3154600000.0,3225400000.0,2582700000.0,
General And Administrative Expense,593700000.0,409700000.0,253600000.0,226100000.0,
Rent And Landing Fees,117200000.0,86300000.0,67500000.0,42400000.0,
Gross Profit,34926300000.0,31362700000.0,31607900000.0,24833200000.0,
Cost Of Revenue,76423200000.0,72228300000.0,69197100000.0,66540700000.0,
Total Revenue,111349500000.0,103591000000.0,100805000000.0,91373900000.0,
Operating Revenue,111349500000.0,103591000000.0,100805000000.0,91373900000.0,
