,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-347267945.372964,-192642237.448078,745816180.0,412091550.0,
Tax Rate For Calcs,0.250644,0.197724,0.2567,0.3159,
Normalized EBITDA,175819100000.0,132910500000.0,132367600000.0,109357400000.0,
Total Unusual Items,-1385500000.0,-974300000.0,-720000000.0,1304500000.0,
Total Unusual Items Excluding Goodwill,-1385500000.0,-974300000.0,2905400000.0,1304500000.0,
Net Income From Continuing Operation Net Minority Interest,81656400000.0,60391100000.0,70050000000.0,50639600000.0,
Reconciled Depreciation,46444600000.0,40149500000.0,31453000000.0,28879900000.0,
Reconciled Cost Of Revenue,171883600000.0,137037300000.0,153221300000.0,128272500000.0,
EBITDA,174433600000.0,131936200000.0,135273000000.0,110661900000.0,
EBIT,127989000000.0,91786700000.0,103820000000.0,81782000000.0,
Net Interest Income,-18717100000.0,-16505400000.0,-7229300000.0,-4957300000.0,
Interest Expense,18717100000.0,16505400000.0,9597800000.0,7619500000.0,
Interest Income,,2923500000.0,2407500000.0,2724500000.0,1637000000.0
Normalized Income,82694632054.62703,61172757762.551926,67890416180.0,49747191550.0,
Net Income From Continuing And Discontinued Operation,81656400000.0,60391100000.0,70050000000.0,50639600000.0,
Total Expenses,761357600000.0,674126300000.0,610848800000.0,547604500000.0,
Rent Expense Supplemental,,1774900000.0,1723900000.0,1944100000.0,1546100000.0
Diluted Average Shares,,294404036.0,288429818.0,288480570.0,288547584.0
Basic Average Shares,,294160253.0,288212100.0,288326723.0,288424921.0
Diluted EPS,,205.13,242.87,175.54,254.53
Basic EPS,,205.3,243.05,175.63,254.64
Diluted NI Availto Com Stockholders,81656400000.0,60391100000.0,70050000000.0,50639600000.0,
Net Income Common Stockholders,81656400000.0,60391100000.0,70050000000.0,50639600000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,81656400000.0,60391100000.0,70050000000.0,50639600000.0,
Minority Interests,-227100000.0,-5300000.0,10400000.0,-94400000.0,
Net Income Including Noncontrolling Interests,81883500000.0,60396400000.0,70039600000.0,50734000000.0,
Net Income Discontinuous Operations,,,,0.0,1599200000.0
Net Income Continuous Operations,81883500000.0,60396400000.0,70039600000.0,50734000000.0,
Tax Provision,27388400000.0,14884900000.0,24182600000.0,23428500000.0,
Pretax Income,109271900000.0,75281300000.0,94222200000.0,74162500000.0,
Other Non Operating Income Expenses,5775100000.0,7441700000.0,1131800000.0,1497200000.0,
Special Income Charges,-1385500000.0,-974300000.0,-134100000.0,328300000.0,
Other Special Charges,884800000.0,-963100000.0,-585900000.0,-328300000.0,
Write Off,500700000.0,93500000.0,0.0,,0.0
Restructuring And Mergern Acquisition,0.0,880800000.0,720000000.0,0.0,
Net Non Operating Interest Income Expense,-18717100000.0,-16505400000.0,-7229300000.0,-4957300000.0,
Total Other Finance Cost,,128300000.0,39000000.0,62300000.0,134600000.0
Interest Expense Non Operating,18717100000.0,16505400000.0,9597800000.0,7619500000.0,
Interest Income Non Operating,,2923500000.0,2407500000.0,2724500000.0,1637000000.0
Operating Income,123757700000.0,85425000000.0,96682900000.0,75771500000.0,
Operating Expense,589474000000.0,537089000000.0,448191100000.0,419332000000.0,
Other Operating Expenses,309713700000.0,286295300000.0,218024100000.0,213715200000.0,
Depreciation And Amortization In Income Statement,46444600000.0,40149500000.0,31453000000.0,28879900000.0,
Amortization,,2959200000.0,1983100000.0,1949200000.0,1727100000.0
Depreciation Income Statement,46444600000.0,40149500000.0,29469900000.0,26930700000.0,
Selling General And Administration,191691300000.0,174598300000.0,176503100000.0,154790900000.0,
Selling And Marketing Expense,191691300000.0,174598300000.0,174683800000.0,153052500000.0,
General And Administrative Expense,,1378600000.0,1819300000.0,1738400000.0,1287300000.0
Rent And Landing Fees,,1774900000.0,1723900000.0,1944100000.0,1546100000.0
Gross Profit,713231700000.0,622514000000.0,544874000000.0,495103500000.0,
Cost Of Revenue,171883600000.0,137037300000.0,153221300000.0,128272500000.0,
Total Revenue,885115300000.0,759551300000.0,698095300000.0,623376000000.0,
Operating Revenue,885115300000.0,759551300000.0,698095300000.0,623376000000.0,
